k,pop_size,iterations,perc_elitism,perc_mat,sel_type,cross_type,mutation_rate,mut_type,best_solution_fitness,cycle_time,station_times,operator_times,violations,best_solution
231734,1000,1000,0.01,0.1,rank,DP,0.02,random,290156,290156,"[279786, 150250, 207434, 99888, 152646, 212594, 283186, 289170, 284196, 290156, 204660]","[262510, 277214, 289170, 284196, 290156, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 7, 8, 9, 7, 8, 7, 8, 5, 5, 6, 9, 9, 7, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,rank,UX,0.02,random,289720,289720,"[279786, 150250, 207434, 117070, 209144, 138914, 283186, 287288, 286514, 289720, 204660]","[279692, 260032, 287288, 286514, 289720, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 8, 7, 7, 9, 9, 9, 7, 4, 4, 6, 8, 8, 9, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,SP,0.01,random,290358,290358,"[279786, 150250, 207434, 117070, 209144, 138914, 283186, 283792, 290358, 289372, 204660]","[279692, 260032, 283792, 290358, 289372, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 7, 8, 7, 7, 7, 7, 8, 4, 4, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,DP,0.01,random,291360,291360,"[279786, 150250, 207434, 117070, 209144, 138914, 283186, 291360, 283850, 288312, 204660]","[279692, 260032, 291360, 283850, 288312, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 9, 7, 9, 9, 7, 8, 7, 8, 4, 4, 6, 7, 7, 9, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,UX,0.01,random,290358,290358,"[279786, 150250, 207434, 99888, 226326, 138914, 283186, 288796, 290358, 284368, 204660]","[262510, 277214, 288796, 290358, 284368, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 7, 8, 7, 9, 9, 7, 8, 4, 4, 6, 9, 9, 7, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,SP,0.02,random,290358,290358,"[279786, 150250, 228104, 79218, 152646, 212594, 283186, 290358, 288796, 284368, 204660]","[262510, 277214, 290358, 288796, 284368, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 8, 7, 8, 9, 9, 8, 7, 5, 5, 6, 9, 9, 8, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,DP,0.02,random,288312,288312,"[279786, 150250, 228104, 96400, 135464, 212594, 283186, 287316, 287894, 288312, 204660]","[279692, 260032, 287316, 287894, 288312, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 9, 8, 9, 9, 7, 8, 8, 7, 5, 5, 6, 8, 8, 9, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,UX,0.02,random,292590,292590,"[279786, 150250, 207434, 96400, 229814, 138914, 283186, 290358, 292590, 280574, 204660]","[259022, 280702, 290358, 292590, 280574, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 9, 7, 8, 9, 8, 8, 7, 4, 4, 6, 8, 8, 8, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,roulette,SP,0.01,random,301522,301522,"[292972, 137064, 228104, 79218, 226326, 138914, 283186, 280338, 281662, 301522, 204660]","[262510, 277214, 280338, 281662, 301522, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 9, 8, 8, 8, 8, 8, 7, 4, 4, 6, 8, 8, 9, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,roulette,DP,0.01,random,289372,289372,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 286488, 287662, 289372, 204660]","[259022, 280702, 286488, 287662, 289372, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 7, 8, 7, 7, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,roulette,UX,0.01,random,289324,289324,"[279786, 150250, 207434, 96400, 229814, 138914, 283186, 289324, 287662, 286536, 204660]","[259022, 280702, 289324, 287662, 286536, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 7, 8, 7, 9, 8, 4, 4, 6, 7, 7, 7, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,roulette,SP,0.02,random,293006,293006,"[292972, 137064, 207434, 96400, 229814, 138914, 283186, 286490, 284026, 293006, 204660]","[259022, 280702, 286490, 284026, 293006, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 9, 9, 7, 7, 9, 7, 8, 8, 4, 4, 6, 7, 7, 8, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,roulette,DP,0.02,random,291374,291374,"[279786, 150250, 207434, 99888, 226326, 138914, 283186, 291360, 280788, 291374, 204660]","[262510, 277214, 291360, 280788, 291374, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 7, 8, 8, 7, 9, 7, 9, 4, 4, 6, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,roulette,UX,0.02,random,287966,287966,"[279786, 150250, 207434, 99888, 226326, 138914, 283186, 287662, 287894, 287966, 204660]","[262510, 277214, 287662, 287894, 287966, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 8, 7, 9, 7, 8, 8, 7, 4, 4, 6, 8, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,rank,SP,0.01,random,291360,291360,"[279786, 150250, 228104, 79218, 226326, 138914, 283186, 291360, 284196, 287966, 204660]","[262510, 277214, 291360, 284196, 287966, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 7, 8, 9, 7, 8, 7, 8, 4, 4, 6, 7, 7, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,rank,DP,0.01,random,291374,291374,"[279786, 150250, 207434, 117070, 135464, 212594, 283186, 280788, 291360, 291374, 204660]","[279692, 260032, 280788, 291360, 291374, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 8, 7, 7, 8, 9, 8, 9, 5, 5, 6, 8, 8, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,rank,UX,0.01,random,294840,294840,"[279786, 150250, 228104, 96400, 209144, 138914, 283186, 282168, 286514, 294840, 204660]","[279692, 260032, 282168, 286514, 294840, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 8, 7, 7, 9, 7, 7, 9, 4, 4, 6, 8, 8, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,rank,SP,0.02,random,293022,293022,"[292972, 137064, 207434, 96400, 156134, 212594, 283186, 293022, 285230, 285270, 204660]","[259022, 280702, 293022, 285230, 285270, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 7, 7, 9, 9, 7, 8, 8, 5, 5, 6, 7, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
