k,pop_size,iterations,perc_elitism,perc_mat,sel_type,cross_type,mutation_rate,mut_type,best_solution_fitness,solution_generation,cycle_time,station_times,operator_times,violations,best_solution
23121,8000,1000,0.05,0.05,tournament,UX,0.05,random,29097,4,29097,"[27813, 12792, 24732, 9636, 13632, 21135, 24681, 28455, 29001, 29097, 20598]","[27501, 22341, 28455, 29001, 29097, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 7, 8, 9, 9, 7, 7, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,8000,1000,0.05,0.05,tournament,UX,0.1,random,28896,5,28896,"[27813, 12792, 24732, 7935, 20517, 15951, 24681, 28869, 28788, 28896, 20598]","[25800, 24042, 28869, 28788, 28896, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 9, 9, 7, 8, 4, 4, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,8000,1000,0.05,0.05,tournament,UX,0.15000000000000002,random,28896,10,28896,"[27813, 14730, 20694, 7935, 22617, 13527, 27105, 28869, 28788, 28896, 20598]","[23700, 26142, 28869, 28788, 28896, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 9, 9, 7, 8, 4, 4, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,tournament,UX,0.05,random,29139,6,29139,"[27813, 14730, 20694, 7935, 15228, 20916, 27105, 29139, 28317, 29097, 20598]","[23700, 26142, 29139, 28317, 29097, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 8, 7, 7, 9, 9, 8, 8, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,tournament,UX,0.1,random,28938,9,28938,"[27813, 14730, 20694, 7935, 22617, 15951, 24681, 28869, 28746, 28938, 20598]","[23700, 26142, 28869, 28746, 28938, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 9, 8, 9, 7, 8, 4, 4, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,tournament,UX,0.15000000000000002,random,29256,5,29256,"[27813, 14730, 20694, 7935, 17433, 21135, 24681, 28614, 29256, 28683, 20598]","[23700, 26142, 28614, 29256, 28683, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 7, 8, 9, 7, 8, 7, 9, 5, 5, 6, 9, 9, 9, 8, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,tournament,UX,0.2,random,29526,5,29526,"[27813, 14730, 20694, 7935, 15228, 23340, 24681, 29526, 28860, 28167, 20598]","[23700, 26142, 29526, 28860, 28167, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 8, 7, 8, 7, 7, 8, 9, 5, 5, 6, 9, 9, 8, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,tournament,UX,0.25,random,29427,4,29427,"[29064, 11541, 24732, 9636, 13632, 21135, 24681, 29427, 28599, 28527, 20598]","[27501, 22341, 29427, 28599, 28527, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 9, 9, 9, 7, 9, 9, 7, 8, 8, 5, 5, 6, 8, 8, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,tournament,UX,0.3,random,28902,3,28902,"[27813, 14730, 20694, 7935, 22617, 15951, 24681, 28902, 28788, 28863, 20598]","[23700, 26142, 28902, 28788, 28863, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 9, 9, 9, 8, 8, 7, 7, 7, 8, 4, 4, 6, 9, 9, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,tournament,UX,0.35000000000000003,random,29157,2,29157,"[29064, 11541, 24732, 7935, 20517, 15951, 24681, 29157, 28746, 28650, 20598]","[25800, 24042, 29157, 28746, 28650, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 9, 8, 9, 8, 7, 7, 8, 4, 4, 6, 9, 9, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
