k,pop_size,iterations,perc_elitism,perc_mat,sel_type,cross_type,mutation_rate,mut_type,best_solution_fitness,cycle_time,station_times,operator_times,violations,best_solution
231734,1000,1000,0.01,0.1,rank,DP,0.025,random,290876,290876,"[279786, 150250, 228104, 79218, 152646, 212594, 283186, 288796, 283850, 290876, 204660]","[262510, 277214, 288796, 283850, 290876, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 9, 7, 9, 7, 9, 8, 7, 8, 5, 5, 6, 9, 9, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,rank,UX,0.025,random,289372,289372,"[279786, 150250, 228104, 79218, 152646, 212594, 283186, 286488, 287662, 289372, 204660]","[262510, 277214, 286488, 287662, 289372, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 7, 8, 7, 7, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,SP,0.01,random,290358,290358,"[279786, 150250, 228104, 96400, 135464, 212594, 283186, 290358, 286514, 286650, 204660]","[279692, 260032, 290358, 286514, 286650, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 8, 7, 9, 9, 9, 9, 7, 5, 5, 6, 8, 8, 9, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,DP,0.01,random,292590,292590,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 283070, 292590, 287862, 204660]","[259022, 280702, 283070, 292590, 287862, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 9, 7, 7, 8, 7, 8, 8, 9, 5, 5, 6, 8, 8, 8, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,UX,0.01,random,290358,290358,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 290358, 287894, 285270, 204660]","[259022, 280702, 290358, 287894, 285270, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 8, 7, 9, 9, 8, 8, 7, 5, 5, 6, 8, 8, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,SP,0.025,random,294388,294388,"[292972, 137064, 228104, 96400, 135464, 212594, 283186, 285108, 284026, 294388, 204660]","[279692, 260032, 285108, 284026, 294388, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 9, 7, 9, 9, 8, 8, 5, 5, 6, 9, 9, 8, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,DP,0.025,random,288966,288966,"[279786, 150250, 228104, 96400, 135464, 212594, 283186, 288866, 288966, 285690, 204660]","[279692, 260032, 288866, 288966, 285690, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9, 8, 7, 7, 5, 5, 6, 7, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.1,tournament,UX,0.025,random,291374,291374,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 281162, 290986, 291374, 204660]","[259022, 280702, 281162, 290986, 291374, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 8, 7, 8, 7, 9, 8, 9, 5, 5, 6, 8, 8, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,roulette,SP,0.01,random,289346,289346,"[279786, 150250, 228104, 96400, 135464, 212594, 283186, 287662, 286514, 289346, 204660]","[279692, 260032, 287662, 286514, 289346, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 8, 7, 9, 7, 9, 9, 7, 5, 5, 6, 8, 8, 9, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,roulette,DP,0.01,random,289324,289324,"[279786, 150250, 228104, 96400, 135464, 212594, 283186, 289324, 287662, 286536, 204660]","[279692, 260032, 289324, 287662, 286536, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 7, 8, 7, 9, 8, 5, 5, 6, 7, 7, 7, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,roulette,UX,0.01,random,289372,289372,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 284810, 289340, 289372, 204660]","[259022, 280702, 284810, 289340, 289372, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 8, 8, 7, 8, 8, 7, 7, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,roulette,SP,0.025,random,291824,291824,"[279786, 150250, 228104, 79218, 152646, 212594, 283186, 286514, 285184, 291824, 204660]","[262510, 277214, 286514, 285184, 291824, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 7, 9, 9, 8, 9, 8, 8, 5, 5, 6, 7, 7, 9, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,roulette,DP,0.025,random,294840,294840,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 285704, 282978, 294840, 204660]","[259022, 280702, 285704, 282978, 294840, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 7, 8, 8, 9, 7, 7, 9, 5, 5, 6, 8, 8, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,roulette,UX,0.025,random,293212,293212,"[279786, 150250, 228104, 96400, 135464, 212594, 283186, 289170, 293212, 281140, 204660]","[279692, 260032, 289170, 293212, 281140, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 7, 9, 8, 7, 8, 7, 8, 5, 5, 6, 9, 9, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,rank,SP,0.01,random,296556,296556,"[292972, 137064, 228104, 96400, 135464, 212594, 269310, 291142, 289700, 296556, 204660]","[279692, 246156, 291142, 289700, 296556, 204660]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 8, 7, 9, 8, 7, 7, 9, 8, 5, 5, 7, 7, 7, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,rank,DP,0.01,random,292086,292086,"[279786, 150250, 228104, 96400, 135464, 212594, 283186, 292086, 286216, 285220, 204660]","[279692, 260032, 292086, 286216, 285220, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 9, 7, 9, 7, 7, 9, 8, 8, 5, 5, 6, 8, 8, 9, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,rank,UX,0.01,random,288966,288966,"[279786, 150250, 228104, 79218, 152646, 212594, 283186, 286216, 288966, 288340, 204660]","[262510, 277214, 286216, 288966, 288340, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 8, 8, 8, 9, 8, 7, 7, 5, 5, 6, 7, 7, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,rank,SP,0.025,random,296914,296914,"[279786, 150250, 228104, 96400, 135464, 212594, 283186, 284196, 282412, 296914, 204660]","[279692, 260032, 284196, 282412, 296914, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 9, 9, 8, 7, 8, 8, 7, 9, 7, 5, 5, 6, 9, 9, 9, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,rank,DP,0.025,random,294014,294014,"[279786, 150250, 228104, 96400, 135464, 212594, 283186, 285482, 284026, 294014, 204660]","[279692, 260032, 285482, 284026, 294014, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 9, 9, 7, 9, 8, 8, 5, 5, 6, 9, 9, 8, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,rank,UX,0.025,random,291374,291374,"[279786, 150250, 228104, 79218, 152646, 212594, 283186, 285108, 287040, 291374, 204660]","[262510, 277214, 285108, 287040, 291374, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 7, 8, 9, 8, 9, 5, 5, 6, 8, 8, 8, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,tournament,SP,0.01,random,299392,299392,"[279786, 150250, 207434, 96400, 156134, 212594, 283186, 277642, 286488, 299392, 204660]","[259022, 280702, 277642, 286488, 299392, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 8, 8, 8, 9, 8, 7, 8, 8, 7, 5, 5, 6, 9, 9, 9, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,tournament,DP,0.01,random,293212,293212,"[279786, 150250, 207434, 79218, 173316, 212594, 269310, 291866, 293212, 292320, 204660]","[241840, 284008, 291866, 293212, 292320, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 9, 8, 9, 8, 7, 8, 5, 5, 9, 9, 9, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
231734,1000,1000,0.01,0.2,tournament,UX,0.01,random,296678,296678,"[279786, 150250, 207434, 96400, 156134, 212594, 269310, 284164, 296678, 296556, 204660]","[259022, 266826, 284164, 296678, 296556, 204660]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 9, 8, 8, 7, 9, 8, 5, 5, 7, 7, 7, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
