k,pop_size,iterations,perc_elitism,perc_mat,sel_type,cross_type,mutation_rate,mut_type,best_solution_fitness,solution_generation,cycle_time,station_times,operator_times,violations,best_solution
23121,1000,1000,0.05,0.05,roulette,SP,0.05,random,31719,0,31719,"[27813, 12792, 30021, 7935, 17433, 11322, 27105, 31719, 28224, 26610, 20598]","[31089, 18753, 31719, 28224, 26610, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 9, 9, 9, 7, 9, 8, 8, 7, 8, 2, 2, 6, 8, 8, 8, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,roulette,DP,0.05,random,29049,3,29049,"[27813, 14730, 22794, 7935, 15333, 21135, 24681, 28716, 28788, 29049, 20598]","[25800, 24042, 28716, 28788, 29049, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 7, 7, 9, 8, 5, 5, 6, 7, 7, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,roulette,UX,0.05,random,29049,1,29049,"[27813, 12792, 22632, 7935, 17433, 18711, 27105, 28716, 28788, 29049, 20598]","[23700, 26142, 28716, 28788, 29049, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 7, 7, 9, 8, 5, 5, 6, 7, 7, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,roulette,SP,0.1,random,29772,3,29772,"[29064, 13479, 20694, 7935, 17433, 18711, 27105, 28173, 29772, 28608, 20598]","[23700, 26142, 28173, 29772, 28608, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 8, 9, 8, 8, 9, 8, 7, 7, 5, 5, 6, 9, 9, 8, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,roulette,DP,0.1,random,29433,4,29433,"[29064, 13479, 22794, 7935, 15333, 18711, 27105, 29031, 29433, 28089, 20598]","[25800, 24042, 29031, 29433, 28089, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 9, 9, 8, 8, 9, 8, 5, 5, 6, 7, 7, 7, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,roulette,UX,0.1,random,29343,4,29343,"[29064, 13479, 20694, 7935, 17433, 21135, 24681, 27939, 29343, 29271, 20598]","[23700, 26142, 27939, 29343, 29271, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 7, 7, 7, 9, 7, 5, 5, 6, 9, 9, 8, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,roulette,SP,0.15,random,31089,0,31089,"[29064, 20868, 20694, 7935, 17433, 11322, 25689, 30240, 30135, 27594, 20598]","[31089, 17337, 30240, 30135, 27594, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 9, 9, 9, 8, 8, 8, 1, 1, 9, 9, 9, 8, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,roulette,DP,0.15,random,29649,0,29649,"[29064, 11541, 24732, 9636, 21021, 11322, 27105, 29649, 28959, 27945, 20598]","[27501, 22341, 29649, 28959, 27945, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 8, 8, 7, 8, 8, 7, 8, 9, 4, 4, 6, 7, 7, 9, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,roulette,UX,0.15,random,29283,3,29283,"[27813, 12792, 22632, 7935, 22617, 13527, 27105, 28173, 29283, 29097, 20598]","[23700, 26142, 28173, 29283, 29097, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 8, 8, 8, 9, 9, 8, 7, 7, 4, 4, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,1000,1000,0.05,0.05,rank,SP,0.05,random,29916,7,29916,"[29064, 11541, 24732, 9636, 13632, 21135, 24681, 28173, 29916, 28464, 20598]","[27501, 22341, 28173, 29916, 28464, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 9, 9, 8, 9, 8, 8, 8, 7, 7, 5, 5, 6, 9, 9, 9, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
