k,pop_size,iterations,perc_elitism,perc_mat,sel_type,cross_type,mutation_rate,mut_type,best_solution_fitness,solution_generation,cycle_time,station_times,operator_times,violations,best_solution
23121,4000,1000,0.05,0.05,tournament,UX,0.05,random,28896,4,28896,"[27813, 12792, 24732, 9636, 21021, 11322, 27105, 28869, 28788, 28896, 20598]","[27501, 22341, 28869, 28788, 28896, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 9, 9, 7, 8, 4, 4, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,4000,1000,0.05,0.05,tournament,UX,0.1,random,28896,23,28896,"[27813, 14730, 22794, 7935, 15333, 18711, 27105, 28869, 28788, 28896, 20598]","[25800, 24042, 28869, 28788, 28896, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 9, 9, 7, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,4000,1000,0.05,0.05,tournament,UX,0.15000000000000002,random,28896,25,28896,"[27813, 14730, 22794, 7935, 22722, 13746, 24681, 28869, 28788, 28896, 20598]","[25800, 24042, 28869, 28788, 28896, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 7, 7, 7, 8, 8, 9, 9, 7, 8, 4, 4, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,4000,1000,0.05,0.05,tournament,UX,0.2,random,29328,6,29328,"[29064, 11541, 24732, 7935, 13128, 23340, 24681, 29139, 29328, 28086, 20598]","[25800, 24042, 29139, 29328, 28086, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 9, 9, 7, 7, 9, 8, 8, 8, 9, 5, 5, 6, 8, 8, 8, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,4000,1000,0.05,0.05,tournament,UX,0.25,random,28902,29,28902,"[27813, 12792, 24732, 7935, 20517, 13527, 27105, 28902, 28788, 28863, 20598]","[25800, 24042, 28902, 28788, 28863, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 9, 9, 9, 8, 8, 7, 7, 7, 8, 4, 4, 6, 9, 9, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,4000,1000,0.05,0.05,tournament,UX,0.3,random,29001,6,29001,"[27813, 12792, 24732, 7935, 15333, 21135, 24681, 28614, 29001, 28938, 20598]","[25800, 24042, 28614, 29001, 28938, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 7, 8, 9, 7, 9, 7, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,4000,1000,0.05,0.05,tournament,UX,0.35000000000000003,random,29229,10,29229,"[29064, 11541, 24732, 7935, 15333, 18711, 27105, 29157, 29229, 28167, 20598]","[25800, 24042, 29157, 29229, 28167, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 7, 7, 9, 5, 5, 6, 9, 9, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,4000,1000,0.05,0.05,tournament,UX,0.4,random,28902,5,28902,"[27813, 12792, 22632, 7935, 24822, 13746, 24681, 28902, 28788, 28863, 20598]","[23700, 26142, 28902, 28788, 28863, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 9, 9, 9, 8, 8, 7, 7, 7, 8, 4, 4, 6, 9, 9, 7, 7, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,4000,1000,0.05,0.05,tournament,UX,0.45,random,29004,7,29004,"[27813, 14730, 22794, 9636, 21021, 13746, 24681, 28902, 28647, 29004, 20598]","[27501, 22341, 28902, 28647, 29004, 20598]",0,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 3, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9, 8, 7, 7, 7, 9, 4, 4, 6, 8, 8, 7, 7, 8, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
23121,4000,1000,0.05,0.05,tournament,UX,0.5,random,29139,8,29139,"[29064, 13479, 22794, 7935, 15333, 21135, 24681, 29139, 28518, 28896, 20598]","[25800, 24042, 29139, 28518, 28896, 20598]",0,"[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 2, 4, 4, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 7, 7, 8, 9, 9, 8, 8, 5, 5, 6, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]"
